Age,Income,LoanAmount,CreditScore,EmploymentLength,DebtToIncomeRatio,OpenCreditLines,LatePayments,HomeOwnership,LoanPurpose,AppSessionTime,UtilityPaymentLatency,SocialSentimentScore,OverdraftFrequency,NumInquiries,BankLoyaltyScore,SupportContactFrequency,DeviceType,TransactionConsistency,NighttimeTransactionRatio,LoanStatus
53,30738,10305,660,24,0.95,2,0,RENT,car,13.8,1,43.8,1,5,16,3,mobile,55.2,0.174,1
56,30004,8419,636,5,0.95,15,0,RENT,car,6.2,0,55.9,1,5,6,0,mobile,76.2,0.114,0
44,50535,13626,696,15,0.95,10,2,MORTGAGE,home_improvement,3.1,2,58.3,1,2,19,11,desktop,96.6,0.186,1
26,31730,6505,827,29,0.95,15,0,RENT,debt_consolidation,6.0,3,50.3,0,5,9,8,mobile,75.7,0.118,1
58,39488,9396,710,30,0.95,11,1,OWN,car,6.1,10,69.5,3,5,15,4,mobile,61.8,0.124,0
41,38241,10701,674,29,0.95,1,1,MORTGAGE,debt_consolidation,4.8,1,80.1,0,8,20,9,mobile,96.5,0.086,1
43,44434,7630,643,4,0.95,4,0,RENT,car,11.1,0,62.1,0,1,13,8,mobile,100.0,0.222,1
37,98236,12530,606,4,0.95,15,2,RENT,debt_consolidation,11.9,7,37.1,1,6,20,8,mobile,52.1,0.214,0
29,72975,9505,720,5,0.95,9,0,RENT,other,0.2,5,66.3,1,0,15,2,mobile,81.1,0.174,1
62,54571,12278,717,23,0.95,2,1,RENT,car,5.9,5,71.8,1,2,9,4,mobile,80.9,0.196,1
56,44026,9678,654,5,0.95,2,0,RENT,car,6.2,0,70.9,3,8,20,6,desktop,89.6,0.228,1
49,44580,10410,746,13,0.95,9,0,MORTGAGE,education,7.3,0,57.9,3,6,20,7,mobile,75.2,0.203,1
39,62786,6954,681,25,0.95,9,3,MORTGAGE,other,14.8,2,51.1,1,2,19,6,mobile,77.6,0.201,1
58,70465,6958,722,15,0.95,4,2,RENT,medical,4.7,3,80.4,1,6,16,3,mobile,63.8,0.12,1
45,36011,14614,696,29,0.95,3,0,MORTGAGE,car,14.2,3,72.9,1,9,2,4,desktop,82.5,0.045,0
40,55073,11547,670,15,0.95,10,3,MORTGAGE,education,7.4,0,58.5,0,3,16,4,desktop,97.7,0.095,1
41,21715,5948,627,11,0.95,7,0,OWN,debt_consolidation,14.3,30,47.0,1,7,4,0,mobile,82.3,0.304,1
31,59592,9627,671,30,0.95,1,0,RENT,medical,6.8,1,71.1,1,2,5,9,mobile,67.0,0.133,1
25,76341,3465,726,16,0.545,1,0,OWN,car,6.3,2,55.4,3,3,16,7,mobile,90.9,0.262,1
45,47761,7118,652,5,0.95,4,4,RENT,car,7.9,0,73.4,2,9,15,7,mobile,70.1,0.188,0
60,122693,13153,704,19,0.95,9,0,MORTGAGE,education,13.2,0,70.2,0,1,1,9,mobile,84.2,0.148,1
23,36441,8518,620,23,0.95,5,2,MORTGAGE,medical,8.6,0,97.1,6,1,20,5,mobile,67.9,0.087,1
59,59745,9388,722,25,0.95,1,1,MORTGAGE,medical,8.8,0,66.9,6,0,14,7,mobile,60.7,0.101,1
58,53310,3000,697,0,0.675,14,0,RENT,other,10.5,15,96.0,0,1,17,8,desktop,68.1,0.141,1
33,51786,7655,613,3,0.95,11,1,OWN,car,4.5,5,69.1,8,7,18,7,desktop,28.0,0.141,1
49,51460,10253,667,19,0.95,9,0,OWN,debt_consolidation,9.3,30,58.7,1,5,11,8,mobile,63.9,0.188,1
28,56851,10787,731,22,0.95,4,1,OWN,debt_consolidation,5.5,2,53.2,0,1,6,0,desktop,100.0,0.103,1
55,79347,13160,610,20,0.95,11,2,RENT,home_improvement,13.9,4,55.7,4,3,0,11,mobile,19.2,0.105,0
52,100708,8233,621,11,0.95,15,1,RENT,debt_consolidation,9.7,2,74.0,0,8,15,6,desktop,57.6,0.211,1
36,54122,8381,676,23,0.95,11,0,MORTGAGE,car,10.8,2,69.8,2,5,7,9,mobile,100.0,0.283,0
24,78190,5256,797,17,0.807,5,2,OWN,education,0.0,5,42.3,3,7,11,0,mobile,75.5,0.156,1
64,39506,8252,643,28,0.95,6,1,OWN,debt_consolidation,10.8,1,82.3,0,2,13,5,mobile,72.8,0.181,0
41,76472,5407,707,11,0.848,14,1,OWN,other,7.3,0,88.7,0,9,8,5,mobile,77.8,0.14,1
61,38450,4276,694,23,0.95,1,0,MORTGAGE,medical,2.3,3,42.1,0,3,2,2,mobile,56.6,0.146,0
51,88503,5802,647,4,0.787,4,0,RENT,other,8.4,3,82.2,0,9,18,10,mobile,91.6,0.135,1
56,146501,16374,688,22,0.95,2,0,OWN,debt_consolidation,1.9,1,91.6,1,4,8,5,mobile,76.4,0.126,1
55,51280,8037,655,22,0.95,10,0,RENT,home_improvement,10.4,0,42.9,2,7,15,10,mobile,69.7,0.189,0
29,20198,9779,660,7,0.95,7,1,OWN,car,13.7,0,61.5,4,5,14,5,desktop,90.3,0.193,1
37,42335,7292,588,1,0.95,2,2,RENT,medical,0.8,7,56.1,3,6,5,7,mobile,54.6,0.133,1
42,94310,4376,678,30,0.557,15,0,MORTGAGE,other,7.9,0,81.6,1,0,18,7,mobile,78.5,0.11,1
43,69486,13023,729,2,0.95,9,0,RENT,education,7.3,3,62.2,0,7,20,7,mobile,64.8,0.117,1
22,60598,3756,683,14,0.744,4,0,OWN,debt_consolidation,0.0,0,61.6,1,4,14,7,desktop,61.7,0.196,1
45,85298,7173,739,0,0.95,15,1,OWN,home_improvement,11.7,0,73.9,0,2,17,9,mobile,100.0,0.094,1
27,67373,8762,711,12,0.95,11,1,OWN,medical,10.5,0,89.8,1,6,12,2,mobile,79.6,0.079,1
54,93712,9820,676,25,0.95,2,0,MORTGAGE,debt_consolidation,16.1,0,67.1,1,7,6,8,mobile,90.3,0.17,0
51,81940,6697,645,15,0.95,13,0,MORTGAGE,other,10.0,0,61.4,1,7,4,9,mobile,71.2,0.145,1
62,107448,4293,653,7,0.479,1,1,RENT,medical,4.5,3,64.0,0,9,19,9,desktop,64.6,0.14,1
54,63669,6500,599,12,0.95,14,2,RENT,education,10.1,3,77.2,1,2,14,4,desktop,23.6,0.208,0
37,81419,6638,665,2,0.95,6,3,OWN,other,13.1,0,49.4,2,1,10,5,mobile,73.9,0.146,1
64,47183,6573,688,18,0.95,5,2,RENT,debt_consolidation,6.1,3,67.8,3,5,17,9,desktop,56.4,0.104,1
39,41330,13201,774,0,0.95,1,2,RENT,home_improvement,11.4,1,54.9,1,3,16,6,mobile,90.7,0.162,1
35,116780,5511,709,10,0.566,14,3,MORTGAGE,car,0.0,0,51.2,4,3,9,0,desktop,61.2,0.104,1
61,59712,10101,632,1,0.95,9,3,MORTGAGE,education,13.9,4,40.8,2,6,1,9,mobile,84.1,0.212,0
37,77823,9541,600,7,0.95,10,2,RENT,medical,11.2,7,60.8,6,0,18,9,mobile,88.6,0.152,0
24,57279,13150,668,2,0.95,13,1,MORTGAGE,debt_consolidation,0.0,1,83.1,3,4,1,6,desktop,100.0,0.078,1
42,41609,8491,724,28,0.95,8,2,OWN,car,9.5,0,40.2,2,4,7,6,mobile,82.2,0.161,1
56,54445,12289,667,23,0.95,5,0,OWN,debt_consolidation,0.1,0,75.6,3,0,12,6,mobile,77.9,0.094,1
29,103383,8359,709,28,0.95,12,0,OWN,home_improvement,5.6,0,58.9,0,6,13,5,mobile,68.9,0.222,0
41,69554,10655,670,21,0.95,8,3,OWN,other,10.7,5,53.1,1,8,13,8,mobile,67.8,0.143,1
26,25080,4909,719,15,0.95,4,1,OWN,debt_consolidation,7.5,0,72.8,3,9,17,1,mobile,66.1,0.194,1
51,49175,3117,592,5,0.761,13,1,MORTGAGE,debt_consolidation,13.0,10,86.3,3,9,10,3,mobile,84.5,0.107,1
42,120817,10415,768,29,0.95,13,0,RENT,home_improvement,8.3,3,89.0,0,1,20,10,desktop,81.2,0.136,1
35,49207,10641,618,28,0.95,4,1,RENT,education,7.9,2,72.0,2,2,12,9,desktop,83.7,0.179,0
31,24096,10831,723,12,0.95,10,0,OWN,debt_consolidation,12.4,0,67.0,1,4,9,0,mobile,65.9,0.139,0
46,126991,7259,665,6,0.686,14,1,OWN,debt_consolidation,6.6,0,73.5,2,5,8,2,mobile,76.2,0.088,0
51,73650,16251,673,12,0.95,12,0,OWN,home_improvement,7.9,0,100.0,1,9,9,1,desktop,61.5,0.2,1
63,52496,7451,666,12,0.95,3,0,OWN,car,8.4,10,63.9,0,2,9,11,mobile,84.9,0.17,1
40,45838,10597,694,28,0.95,13,0,RENT,debt_consolidation,7.7,0,83.9,3,4,19,10,mobile,75.4,0.075,1
28,88173,11360,705,2,0.95,1,0,OWN,education,12.6,1,59.7,0,6,3,6,mobile,77.6,0.125,1
58,42451,17810,738,19,0.95,10,0,OWN,education,5.3,0,56.4,3,8,9,8,mobile,74.0,0.093,1
49,90827,7889,757,23,0.95,8,0,MORTGAGE,home_improvement,4.7,2,92.8,1,6,7,7,mobile,99.8,0.116,1
52,69147,6896,698,23,0.95,1,1,MORTGAGE,debt_consolidation,3.8,0,68.0,0,6,0,10,mobile,86.7,0.118,1
25,60482,4918,774,5,0.95,11,0,OWN,home_improvement,0.0,0,71.1,1,9,14,11,desktop,96.3,0.133,1
35,57843,16663,685,12,0.95,5,3,MORTGAGE,debt_consolidation,13.9,0,75.7,1,8,10,11,mobile,65.8,0.051,1
55,50074,10600,739,10,0.95,13,1,MORTGAGE,home_improvement,4.4,10,55.5,4,8,6,4,mobile,82.2,0.121,1
58,86729,10735,703,12,0.95,14,0,RENT,medical,7.0,1,61.9,1,7,12,4,desktop,71.5,0.217,1
40,36702,31153,649,2,0.95,9,0,MORTGAGE,debt_consolidation,14.2,0,59.0,8,3,0,1,mobile,95.3,0.271,1
57,26112,10199,689,2,0.95,10,0,RENT,debt_consolidation,7.4,3,72.7,0,0,15,9,desktop,81.2,0.07,1
58,71432,5319,707,0,0.894,1,0,MORTGAGE,debt_consolidation,10.1,4,73.1,0,7,8,5,mobile,81.9,0.226,1
38,71974,8280,678,29,0.95,14,3,OWN,debt_consolidation,2.3,1,59.6,0,7,1,0,mobile,74.4,0.307,0
61,67246,6064,702,12,0.95,11,1,RENT,debt_consolidation,13.6,20,96.4,1,6,19,9,mobile,67.4,0.136,1
33,65087,7644,727,7,0.95,6,2,MORTGAGE,home_improvement,7.5,0,67.6,0,1,12,10,desktop,79.0,0.186,1
31,46899,7623,678,24,0.95,2,1,MORTGAGE,medical,3.9,5,69.4,0,9,9,10,mobile,93.9,0.221,1
51,77216,7081,518,15,0.95,8,4,RENT,debt_consolidation,3.9,9,86.8,3,7,12,7,desktop,56.6,0.119,1
49,53077,5129,772,11,0.95,14,3,MORTGAGE,home_improvement,14.8,1,55.8,0,6,16,10,mobile,100.0,0.217,0
27,43512,16933,663,3,0.95,13,0,MORTGAGE,other,5.7,1,60.7,3,4,14,10,desktop,85.4,0.137,1
58,47082,10092,634,11,0.95,2,0,MORTGAGE,car,4.0,0,72.0,0,0,15,6,mobile,51.6,0.217,1
29,134496,8183,618,20,0.73,12,2,MORTGAGE,education,6.3,7,47.3,1,6,5,6,desktop,45.8,0.256,1
57,24816,12125,661,19,0.95,2,0,MORTGAGE,home_improvement,8.2,0,64.7,1,3,13,3,mobile,100.0,0.238,1
21,67840,10812,649,12,0.95,6,1,RENT,debt_consolidation,8.6,10,96.7,5,0,16,7,mobile,76.4,0.128,0
56,25448,9999,639,19,0.95,7,0,MORTGAGE,debt_consolidation,9.8,0,93.6,0,0,2,11,desktop,66.2,0.192,1
56,51601,11778,642,23,0.95,1,2,OWN,medical,8.9,1,80.6,0,1,16,11,mobile,66.7,0.117,1
56,44572,9448,709,28,0.95,3,0,MORTGAGE,education,10.6,0,84.6,0,2,7,10,mobile,76.2,0.07,1
50,21200,11709,791,16,0.95,14,2,MORTGAGE,home_improvement,6.9,0,74.9,8,1,5,3,desktop,95.0,0.135,0
42,64542,12103,725,7,0.95,10,0,MORTGAGE,home_improvement,16.3,0,62.0,0,1,14,9,desktop,73.6,0.207,1
52,45660,9558,741,4,0.95,12,0,OWN,home_improvement,6.0,20,91.0,3,3,19,4,desktop,73.3,0.131,1
33,21065,8200,659,4,0.95,9,3,RENT,debt_consolidation,13.4,0,54.7,1,0,11,0,mobile,48.5,0.252,0
56,79048,16517,685,0,0.95,7,0,OWN,debt_consolidation,5.6,0,81.6,3,1,12,10,mobile,66.2,0.155,1
46,103337,7397,703,17,0.859,1,2,OWN,other,2.3,0,60.9,0,3,9,3,mobile,68.9,0.075,0
41,105932,10473,643,6,0.95,9,3,MORTGAGE,debt_consolidation,1.3,1,61.7,1,0,9,11,mobile,82.2,0.131,1
43,63674,10568,656,7,0.95,12,0,MORTGAGE,home_improvement,9.2,1,75.5,6,2,6,6,mobile,83.3,0.105,0
46,55311,7018,727,22,0.95,4,0,MORTGAGE,car,12.6,0,96.5,0,8,16,8,desktop,96.7,0.242,1
22,98486,6483,739,9,0.79,8,0,RENT,home_improvement,3.4,0,88.0,1,4,10,6,mobile,62.5,0.185,1
27,115505,7773,683,25,0.808,7,0,MORTGAGE,other,4.5,0,72.7,5,7,2,5,mobile,79.7,0.146,1
32,90229,7355,614,4,0.95,14,5,MORTGAGE,debt_consolidation,9.5,6,68.9,3,4,5,10,desktop,59.7,0.202,0
26,35465,4998,663,10,0.95,3,2,MORTGAGE,education,8.0,4,78.9,3,5,7,1,mobile,65.0,0.096,0
40,59314,6901,600,1,0.95,2,1,RENT,debt_consolidation,5.7,8,87.1,2,1,15,1,mobile,75.1,0.071,1
51,66025,9962,684,16,0.95,4,1,MORTGAGE,debt_consolidation,2.9,0,43.4,0,7,18,7,mobile,100.0,0.062,1
50,23997,14859,694,3,0.95,3,3,RENT,home_improvement,9.2,1,66.2,0,2,3,11,mobile,78.3,0.022,1
42,66917,11179,665,7,0.95,13,0,OWN,education,10.6,0,53.3,2,3,3,9,mobile,71.8,0.076,1
59,150670,3166,693,22,0.252,4,0,RENT,home_improvement,10.0,0,64.9,0,2,10,8,mobile,97.4,0.19,1
46,72256,11574,702,27,0.95,6,2,MORTGAGE,debt_consolidation,8.1,1,50.4,0,7,19,1,mobile,83.7,0.201,1
24,105139,7163,694,16,0.818,4,2,RENT,home_improvement,3.8,3,42.7,2,6,6,0,mobile,62.2,0.089,1
55,58824,10735,613,29,0.95,13,1,MORTGAGE,debt_consolidation,9.3,4,49.5,3,5,13,3,desktop,65.2,0.009,1
46,52420,8905,666,23,0.95,10,0,MORTGAGE,education,9.0,0,60.3,0,3,15,8,mobile,73.3,0.122,1
49,64317,8291,702,23,0.95,8,0,RENT,other,2.7,0,76.2,0,0,0,1,mobile,67.0,0.185,1
46,37529,8596,766,30,0.95,12,1,OWN,car,6.8,0,56.6,0,8,10,4,desktop,77.4,0.208,1
45,35112,8875,665,2,0.95,2,1,OWN,home_improvement,9.5,1,55.9,0,6,3,4,mobile,69.3,0.167,1
25,95783,15333,710,7,0.95,11,0,MORTGAGE,car,7.7,3,73.5,1,5,20,1,desktop,88.5,0.08,1
46,100464,8885,728,13,0.95,6,2,MORTGAGE,car,0.2,0,72.0,5,9,1,6,desktop,74.2,0.201,0
56,34683,13825,669,19,0.95,6,0,RENT,debt_consolidation,5.4,3,91.8,2,0,2,2,desktop,79.1,0.178,1
34,83751,13042,743,30,0.95,3,1,OWN,home_improvement,5.2,20,81.1,6,2,20,1,mobile,99.6,0.202,1
48,52097,11694,746,3,0.95,2,1,OWN,car,10.2,0,53.6,2,9,5,5,mobile,85.3,0.088,1
22,63128,4382,755,7,0.833,11,0,OWN,education,18.4,1,58.6,6,0,8,5,mobile,68.0,0.186,1
36,66643,13998,705,9,0.95,13,0,MORTGAGE,home_improvement,8.5,0,78.5,0,3,11,2,mobile,90.3,0.211,1
40,84750,7456,809,20,0.95,14,0,RENT,education,3.2,2,55.6,0,7,13,0,mobile,81.8,0.055,1
65,56231,11924,646,29,0.95,4,2,OWN,medical,7.4,5,63.5,0,5,20,0,desktop,100.0,0.107,1
30,102188,6069,796,29,0.713,12,1,RENT,other,8.0,5,44.1,1,2,20,9,desktop,100.0,0.044,1
33,62270,5575,722,23,0.95,2,0,MORTGAGE,other,11.0,0,49.7,3,3,17,9,mobile,84.9,0.093,1
39,71746,19743,753,23,0.95,12,4,RENT,debt_consolidation,13.0,3,85.6,1,4,20,8,mobile,89.3,0.143,1
65,37236,6107,662,12,0.95,9,2,OWN,home_improvement,13.6,1,70.3,5,2,11,3,mobile,92.6,0.049,1
59,143114,14164,726,18,0.95,13,0,RENT,medical,10.1,3,59.2,0,0,17,7,desktop,81.2,0.228,1
22,66931,9390,758,5,0.95,2,0,MORTGAGE,education,8.0,5,61.2,1,6,16,11,mobile,58.2,0.229,1
31,74671,7570,620,15,0.95,12,1,OWN,debt_consolidation,13.9,3,92.0,1,0,10,10,mobile,76.7,0.141,1
57,26274,8796,671,9,0.95,8,0,OWN,car,6.6,0,58.8,0,7,19,8,desktop,85.4,0.104,1
23,37413,5322,562,28,0.95,9,5,RENT,education,8.2,2,74.6,5,7,2,1,desktop,54.8,0.147,0
59,94565,8906,670,11,0.95,9,1,RENT,debt_consolidation,7.0,4,80.2,1,9,8,5,mobile,100.0,0.252,1
33,61642,5807,635,12,0.95,11,0,MORTGAGE,home_improvement,0.0,0,88.2,0,9,7,11,mobile,76.1,0.194,1
62,22898,7645,668,12,0.95,9,0,MORTGAGE,home_improvement,13.1,1,56.1,0,9,11,9,mobile,85.3,0.024,1
34,86442,12966,840,27,0.95,7,0,OWN,home_improvement,10.7,2,48.4,1,5,11,0,desktop,100.0,0.0,1
40,42417,9914,774,28,0.95,7,0,MORTGAGE,car,0.0,4,52.5,2,0,10,10,mobile,95.4,0.087,1
50,102241,4950,600,13,0.581,2,1,MORTGAGE,debt_consolidation,12.0,11,78.2,1,8,20,5,mobile,61.9,0.147,1
26,52077,12589,710,30,0.95,11,2,RENT,medical,6.8,0,95.9,2,9,15,1,mobile,83.2,0.031,1
46,59404,8930,723,23,0.95,11,2,OWN,debt_consolidation,12.0,2,78.7,0,2,16,0,desktop,75.5,0.136,1
43,92091,7209,661,26,0.939,9,3,MORTGAGE,education,8.3,4,58.8,0,3,7,4,mobile,76.8,0.033,1
56,36175,12072,689,28,0.95,11,0,MORTGAGE,debt_consolidation,2.6,0,84.6,0,0,6,11,mobile,63.1,0.151,1
65,34656,8376,695,10,0.95,5,0,OWN,medical,8.1,1,61.4,1,3,10,7,mobile,74.6,0.165,1
50,49592,5618,605,17,0.95,4,3,RENT,home_improvement,4.4,7,56.4,1,3,8,5,mobile,49.5,0.269,1
39,78608,18753,623,8,0.95,14,0,MORTGAGE,car,3.1,0,63.4,1,8,13,6,mobile,77.9,0.141,1
39,29765,8894,689,9,0.95,15,0,RENT,debt_consolidation,11.5,0,59.9,6,2,5,3,mobile,72.7,0.125,1
39,25575,8668,685,14,0.95,13,5,OWN,home_improvement,9.6,0,58.2,8,1,2,0,desktop,84.5,0.243,0
57,78486,7616,641,1,0.95,1,2,OWN,debt_consolidation,14.0,3,85.1,0,6,8,5,mobile,58.6,0.196,1
35,41302,14357,636,6,0.95,9,3,MORTGAGE,debt_consolidation,6.4,0,60.8,2,7,17,2,desktop,65.9,0.153,1
28,45410,7259,675,25,0.95,12,0,MORTGAGE,medical,4.1,0,45.8,6,9,1,11,mobile,66.0,0.129,0
36,23492,4827,728,5,0.95,1,1,OWN,debt_consolidation,10.6,1,76.2,1,7,1,3,mobile,77.8,0.269,1
22,39913,6826,675,19,0.95,15,0,OWN,other,4.7,0,54.6,0,2,17,2,mobile,74.8,0.099,1
25,53992,15225,769,23,0.95,12,0,RENT,car,6.8,0,55.1,0,6,11,5,mobile,100.0,0.047,1
25,82345,12492,641,8,0.95,5,0,MORTGAGE,debt_consolidation,10.1,0,77.8,0,9,11,4,mobile,78.5,0.137,1
55,38290,8087,690,14,0.95,8,3,OWN,other,7.5,0,57.8,3,8,16,7,mobile,78.0,0.128,1
53,114213,15511,660,27,0.95,14,0,RENT,debt_consolidation,6.0,0,61.7,0,5,12,0,mobile,64.3,0.234,1
52,39813,12078,712,25,0.95,13,1,RENT,education,2.4,1,68.6,0,2,20,11,mobile,74.2,0.161,1
41,39839,8049,637,28,0.95,13,3,OWN,debt_consolidation,11.7,0,64.0,2,1,4,2,mobile,60.7,0.214,0
53,108208,8380,786,19,0.929,15,2,OWN,car,6.5,0,62.0,3,3,20,7,mobile,96.2,0.0,1
28,59585,10216,587,27,0.95,12,2,MORTGAGE,education,10.5,3,35.2,2,5,9,10,mobile,73.4,0.127,1
61,42260,6420,774,12,0.95,15,1,MORTGAGE,debt_consolidation,9.9,0,65.6,2,9,7,0,desktop,65.2,0.253,1
43,50523,8971,684,18,0.95,15,0,RENT,car,12.4,0,90.6,0,4,9,5,desktop,78.6,0.074,1
63,99597,10132,710,20,0.95,1,0,MORTGAGE,debt_consolidation,7.1,0,76.8,0,7,10,7,mobile,76.6,0.13,1
27,104798,4561,753,30,0.522,10,0,MORTGAGE,medical,6.6,0,62.7,1,7,7,1,mobile,100.0,0.209,1
43,37513,8302,727,11,0.95,6,1,MORTGAGE,debt_consolidation,3.6,1,74.6,2,4,10,7,mobile,65.0,0.115,1
52,53152,7933,639,27,0.95,8,2,MORTGAGE,debt_consolidation,5.8,10,76.8,0,7,0,9,desktop,68.1,0.205,1
43,56420,13511,713,15,0.95,3,4,RENT,debt_consolidation,9.4,0,56.2,0,8,13,1,desktop,81.4,0.108,1
41,34759,4282,782,3,0.95,11,0,RENT,car,4.7,3,85.6,4,6,14,10,mobile,81.5,0.147,0
28,52836,7688,631,20,0.95,13,0,OWN,other,9.3,0,70.3,6,7,2,5,mobile,72.3,0.197,1
38,54306,7386,796,30,0.95,7,0,RENT,other,13.9,0,63.6,1,6,14,11,mobile,82.5,0.074,1
31,90499,13148,701,14,0.95,11,5,RENT,medical,6.2,0,90.3,0,9,5,3,desktop,84.8,0.093,1
34,93278,8801,656,17,0.95,5,3,MORTGAGE,education,2.7,0,39.0,0,6,13,0,mobile,92.8,0.214,1
51,46717,18369,630,28,0.95,12,4,OWN,education,6.3,2,51.5,0,1,4,7,mobile,76.9,0.095,1
49,49204,11671,667,28,0.95,2,0,MORTGAGE,home_improvement,2.3,0,77.0,0,2,18,5,mobile,74.5,0.159,1
48,73052,7600,572,12,0.95,14,1,MORTGAGE,debt_consolidation,13.3,6,77.4,3,2,10,7,mobile,80.2,0.218,0
37,41634,9856,657,23,0.95,6,1,OWN,car,8.3,1,91.1,0,9,20,10,mobile,80.7,0.156,1
64,70607,7773,665,19,0.95,8,0,MORTGAGE,debt_consolidation,5.1,3,36.4,0,0,1,10,mobile,80.1,0.169,1
24,52075,12629,620,20,0.95,13,0,MORTGAGE,education,5.8,0,80.0,2,2,17,1,mobile,92.7,0.258,1
36,35023,5256,721,22,0.95,1,0,RENT,home_improvement,3.3,0,50.6,0,6,1,0,mobile,64.1,0.311,1
26,35222,6442,667,10,0.95,15,0,MORTGAGE,debt_consolidation,12.0,3,73.9,0,5,0,4,desktop,74.6,0.16,1
36,103899,10746,645,9,0.95,10,0,RENT,education,15.3,1,67.1,1,0,3,1,mobile,65.2,0.12,1
64,50494,14622,662,0,0.95,15,4,OWN,debt_consolidation,2.0,2,79.9,0,7,6,10,desktop,71.0,0.208,1
37,113341,3712,699,26,0.393,9,2,RENT,other,12.2,0,64.7,1,0,18,6,mobile,61.4,0.096,1
61,42996,15519,684,8,0.95,4,2,RENT,other,7.0,2,82.2,0,0,16,1,desktop,73.1,0.242,1
43,61762,8467,641,20,0.95,9,0,OWN,car,13.1,2,56.4,0,8,1,6,mobile,82.8,0.112,0
52,159007,4215,686,21,0.318,9,2,MORTGAGE,medical,0.7,0,66.9,0,4,18,8,mobile,43.8,0.12,1
41,33664,3000,677,21,0.95,14,0,RENT,debt_consolidation,8.9,5,70.7,1,5,4,9,mobile,73.8,0.078,1
32,23063,4857,617,26,0.95,9,2,RENT,home_improvement,6.4,8,91.5,1,0,19,11,mobile,63.7,0.091,0
55,96661,8885,664,26,0.95,7,0,RENT,education,10.6,0,79.7,4,1,4,7,desktop,74.4,0.233,1
64,37344,8722,711,0,0.95,3,0,RENT,debt_consolidation,8.2,0,70.9,4,2,14,7,desktop,56.2,0.174,1
32,53674,11537,711,26,0.95,5,3,RENT,debt_consolidation,8.1,3,77.0,1,3,13,0,mobile,90.4,0.146,1
56,41620,7188,667,6,0.95,9,3,RENT,home_improvement,7.6,2,83.2,0,6,17,10,mobile,90.3,0.294,1
32,61125,5749,717,20,0.95,6,0,RENT,car,14.2,10,73.2,0,3,13,9,mobile,92.9,0.158,1
53,35322,7591,626,20,0.95,6,1,MORTGAGE,medical,7.3,2,53.6,5,9,3,9,mobile,70.7,0.149,1
56,49962,9077,627,1,0.95,1,0,MORTGAGE,debt_consolidation,11.5,0,76.8,0,2,20,11,mobile,80.2,0.072,1
41,66331,9821,666,8,0.95,15,0,RENT,debt_consolidation,10.5,0,67.6,0,3,8,9,mobile,68.5,0.093,1
54,34415,6531,762,28,0.95,13,1,MORTGAGE,education,11.6,1,63.1,0,0,20,5,desktop,75.0,0.085,1
33,39536,12843,688,4,0.95,4,2,MORTGAGE,debt_consolidation,3.9,1,57.0,0,8,1,7,desktop,63.4,0.102,1
24,46336,6984,664,7,0.95,3,2,OWN,debt_consolidation,10.8,15,76.1,0,6,19,10,mobile,80.6,0.117,1
25,28482,6324,764,2,0.95,13,0,OWN,debt_consolidation,9.3,3,75.2,0,5,9,0,mobile,100.0,0.13,1
41,44795,7209,664,5,0.95,13,0,OWN,medical,3.2,10,54.6,2,8,20,1,mobile,94.7,0.199,0
